iqr,learning_rate,subsample,n_estimators,max_depth,accuracy_mean,accuracy_1_mean,accuracy_0_mean,accuracy_median,accuracy_1_median,accuracy_0_median,recall_1_mean,recall_0_mean
1.0,0.05,0.1,1,1,0.4444444444444445,0.38730158730158726,0.25,0.4444444444444444,0.4444444444444444,0.0,0.8,0.26666666666666666
1.0,0.05,0.1,1,2,0.4444444444444445,0.38730158730158726,0.25,0.4444444444444444,0.4444444444444444,0.0,0.8,0.26666666666666666
1.0,0.05,0.1,1,3,0.4444444444444445,0.38730158730158726,0.25,0.4444444444444444,0.4444444444444444,0.0,0.8,0.26666666666666666
1.0,0.05,0.1,1,4,0.4444444444444445,0.38730158730158726,0.25,0.4444444444444444,0.4444444444444444,0.0,0.8,0.26666666666666666
1.0,0.05,0.1,2,1,0.41944444444444445,0.38555555555555554,0.25,0.4444444444444444,0.4,0.25,0.62,0.4133333333333333
1.0,0.05,0.1,2,2,0.39722222222222225,0.3716666666666667,0.25,0.3333333333333333,0.375,0.25,0.5700000000000001,0.4133333333333333
1.0,0.05,0.1,2,3,0.39722222222222225,0.3716666666666667,0.25,0.3333333333333333,0.375,0.25,0.5700000000000001,0.4133333333333333
1.0,0.05,0.1,2,4,0.39722222222222225,0.3716666666666667,0.25,0.3333333333333333,0.375,0.25,0.5700000000000001,0.4133333333333333
1.0,0.05,0.1,4,1,0.39722222222222225,0.36214285714285716,0.45,0.4444444444444444,0.375,0.5,0.52,0.44666666666666666
1.0,0.05,0.1,4,2,0.39722222222222225,0.36214285714285716,0.45,0.4444444444444444,0.375,0.5,0.52,0.44666666666666666
1.0,0.05,0.1,4,3,0.39722222222222225,0.36214285714285716,0.45,0.4444444444444444,0.375,0.5,0.52,0.44666666666666666
1.0,0.05,0.1,4,4,0.39722222222222225,0.36214285714285716,0.45,0.4444444444444444,0.375,0.5,0.52,0.44666666666666666
1.0,0.05,0.1,8,1,0.3055555555555555,0.30095238095238097,0.11666666666666665,0.25,0.2857142857142857,0.0,0.52,0.26666666666666666
1.0,0.05,0.1,8,2,0.28055555555555556,0.28095238095238095,0.1,0.25,0.2857142857142857,0.0,0.48,0.26666666666666666
1.0,0.05,0.1,8,3,0.28055555555555556,0.28095238095238095,0.1,0.25,0.2857142857142857,0.0,0.48,0.26666666666666666
1.0,0.05,0.1,8,4,0.28055555555555556,0.28095238095238095,0.1,0.25,0.2857142857142857,0.0,0.48,0.26666666666666666
