iqr,learning_rate,subsample,n_estimators,max_depth,accuracy_mean,accuracy_1_mean,accuracy_0_mean,accuracy_median,accuracy_1_median,accuracy_0_median,recall_1_mean,recall_0_mean
1.0,0.05,0.1,1,1,0.4742857142857143,0.4262146892655368,0.12285714285714286,0.4666666666666667,0.4666666666666667,0.0,0.8311688311688312,0.17972350230414746
1.0,0.05,0.1,1,2,0.48190476190476195,0.5165706416345803,0.18343051506316813,0.4666666666666667,0.5066666666666667,0.0,0.851005354294828,0.1529040561298626
1.0,0.05,0.1,1,3,0.48571428571428577,0.5090904365904366,0.332989478527236,0.4666666666666667,0.5,0.4,0.7162441531636577,0.2776699369933044
1.0,0.05,0.1,1,4,0.5009523809523809,0.5249322770253003,0.41587218103697765,0.49333333333333335,0.5,0.43478260869565216,0.689717609531851,0.33366164298501044
1.0,0.05,0.1,2,1,0.49333333333333335,0.5102528499984469,0.3390977443609023,0.5066666666666667,0.5066666666666667,0.47368421052631576,0.8443953179357867,0.14768112216971382
1.0,0.05,0.1,2,2,0.49523809523809526,0.5234253878216727,0.5049356301660449,0.48,0.5,0.45161290322580644,0.7459060657755926,0.275342074440085
1.0,0.05,0.1,2,3,0.49333333333333335,0.5135108993518732,0.5088269573563691,0.48,0.5161290322580645,0.47368421052631576,0.7483330174174933,0.2605315659435025
1.0,0.05,0.1,2,4,0.4780952380952382,0.4957822829951427,0.47147525676937446,0.4666666666666667,0.509090909090909,0.4444444444444444,0.7085675179162575,0.2621252074663337
1.0,0.05,0.1,4,1,0.48,0.5045272525515687,0.3534192624418188,0.4666666666666667,0.5,0.3333333333333333,0.7780418866111039,0.18574168469919844
1.0,0.05,0.1,4,2,0.5009523809523809,0.5175033355666876,0.5064400760304122,0.49333333333333335,0.5,0.5555555555555556,0.7285785845438654,0.28258235354447564
1.0,0.05,0.1,4,3,0.499047619047619,0.520780507812915,0.5071082004230264,0.49333333333333335,0.5344827586206896,0.55,0.6457167556017621,0.37593295578852504
1.0,0.05,0.1,4,4,0.4742857142857143,0.4981409640342185,0.44843253968253965,0.48,0.5111111111111111,0.45454545454545453,0.6076662004514725,0.3535782342177756
1.0,0.05,0.1,8,1,0.4952380952380953,0.521075188722671,0.47015514247657103,0.48,0.49230769230769234,0.4666666666666667,0.7249677143584707,0.28390505825596307
1.0,0.05,0.1,8,2,0.5047619047619049,0.5238673933203098,0.48108465608465606,0.5066666666666667,0.48148148148148145,0.5,0.6670261405997806,0.35117792128582287
1.0,0.05,0.1,8,3,0.518095238095238,0.5338978785991005,0.5296373647716409,0.5066666666666667,0.55,0.5172413793103449,0.6575910507743767,0.39295326773971256
1.0,0.05,0.1,8,4,0.4876190476190477,0.5096821598390936,0.4677247674428125,0.49333333333333335,0.46938775510204084,0.5,0.6210829307799675,0.3640287640681032
1.0,0.05,0.1,16,1,0.5085714285714286,0.5261587519623234,0.5074911270057882,0.5066666666666667,0.53125,0.5217391304347826,0.6331715461304138,0.3908287536561112
1.0,0.05,0.1,16,2,0.4819047619047619,0.5000393472407277,0.46529493331818916,0.49333333333333335,0.5,0.48717948717948717,0.5571739461334773,0.409514431417882
1.0,0.05,0.1,16,3,0.5428571428571428,0.5601834532262517,0.5334782706313405,0.5733333333333334,0.5714285714285714,0.5333333333333333,0.5889107796228539,0.5032217404224822
1.0,0.05,0.1,16,4,0.518095238095238,0.5312228075599811,0.5027469451730535,0.5066666666666667,0.5581395348837209,0.5,0.5682918382664071,0.4636811171710576
1.0,0.05,0.1,32,1,0.5199999999999999,0.5311799549505587,0.5243547623853226,0.5466666666666666,0.5135135135135135,0.5454545454545454,0.6580716018464802,0.38957194320800026
1.0,0.05,0.1,32,2,0.5028571428571429,0.5110305053407171,0.5044135836152642,0.52,0.49122807017543857,0.5238095238095238,0.5737813067810856,0.43213365302552675
1.0,0.05,0.1,32,3,0.5295238095238094,0.5365567491364361,0.5207610693666658,0.5333333333333333,0.5098039215686274,0.5319148936170213,0.6031855804522765,0.44551256204903505
1.0,0.05,0.1,32,4,0.5161904761904762,0.5254668786989498,0.5153703656195351,0.5066666666666667,0.5151515151515151,0.5357142857142857,0.5855892117612596,0.4468218700403707
1.0,0.05,0.1,64,1,0.5676190476190476,0.5812521611624241,0.5701167118881499,0.5733333333333334,0.5652173913043478,0.5952380952380952,0.616087942353975,0.5298715232035452
1.0,0.05,0.1,64,2,0.5428571428571428,0.5537436853051471,0.5317185007974482,0.5466666666666666,0.5151515151515151,0.5625,0.5522256031599242,0.5332084155479683
1.0,0.05,0.1,64,3,0.5028571428571429,0.5188319636300053,0.4879159772016915,0.5066666666666667,0.48717948717948717,0.5,0.5126477863872821,0.49418815401730987
1.0,0.05,0.1,64,4,0.5295238095238095,0.5419232732325712,0.5110097993373255,0.52,0.5294117647058824,0.5,0.5226069375118468,0.5297626629985853
1.0,0.05,0.1,100,1,0.5561904761904761,0.5642608721066168,0.5563941103808213,0.5466666666666666,0.5531914893617021,0.5833333333333334,0.6096390470063623,0.505712825978084
1.0,0.05,0.1,100,2,0.5238095238095238,0.5281304604612875,0.5112754684183256,0.52,0.5238095238095238,0.5277777777777778,0.5536641211508527,0.47970545008310556
